中文,假名,汉字单词,词性
现在,いま,今,名词
上个星期,せんしゅう,先週,名词
下个星期,らいしゅう,来週,名词
下下个星期,さらにらいしゅう,再来週,名词
这个星期,こんしゅう,今週,名词
昨天,きのう,昨日,名词
明天,あした,明日,名词
后天,あさって,あさって,名词
前天,おととい,おととい,名词
每天，每日,まいにち,毎日,名词
每天早晨,まいあさ,毎朝,名词
每天晚上,まいばん,毎晩,名词
每个星期,まいしゅう,毎週,名词
上午,ごぜん/エーエム（am）,午前/エーエム（am）,名词
下午,ごご/ピーエム（pm）,午後/ピーエム（pm）,名词
星期日,にちようび,日曜日,名词
星期一,げつようび,月曜日,名词
星期二,かようび,火曜日,名词
星期三,すいようび,水曜日,名词
星期四,もくようび,木曜日,名词
星期五,きんようび,金曜日,名词
星期六,どようび,土曜日,名词
今天早晨,けさ,今朝,名词
今天晚上,こんばん,今晩,名词
明年,らいねん,来年,名词
去年,きょねん,去年,名词
晚上，夜里，夜晚,ばん,晩,名词
晚上,よる,夜,名词
早晨,あさ,朝,名词
学校,がっこう,学校,名词
考试,しけん,試験,名词
工作,しごと,仕事,名词
迟到,ちこく,遅刻,名词
休息,やすみ,休み,名词
出差,しゅっちょう,出張,名词
进修,けんしゅう,研修,名词
旅行,りょこう,旅行,名词
展览会,てんらんかい,展覧会,名词
欢迎会,かんげいかい,歓迎会,名词
联欢会,パーティー,パーティー,名词
府上，（您）家,おたく,お宅,名词
什么时候,いつ,何時,名词
休息,やすみます,休みます,动词Ⅰ
工作,はたらきます,働きます,动词Ⅰ
开始,はじまります,始まります,动词Ⅰ
开始,はじめます,始めます,动词Ⅰ
结束,おわります,終わります,动词Ⅰ
起床,おきます,起きます,动词Ⅱ
睡觉,ねます,寝ます,动词Ⅱ
学习,べんきょうします,勉強します,动词Ⅲ
经常，总是,いつも,いつも,副词
北京分社,ペキンしゃ,北京社,专有名词
神户,こうべ,神戸,专有名词
你早,おはよう,おはよう,短语/表达 
~時/~分/~半/~月/~日/~年/~こ,~じ/~ふん/~はん/~がつ/~にち/~ねん/~こ,~時/~分/~半/~月/~日/~年/~こ,短语/表达 
